,Combined_Key,date,cases
0,"Jackson, Missouri, US",2020-02-01,0
1,"Jackson, Missouri, US",2020-02-02,0
2,"Jackson, Missouri, US",2020-02-03,0
3,"Jackson, Missouri, US",2020-02-04,0
4,"Jackson, Missouri, US",2020-02-05,0
5,"Jackson, Missouri, US",2020-02-06,0
6,"Jackson, Missouri, US",2020-02-07,0
7,"Jackson, Missouri, US",2020-02-08,0
8,"Jackson, Missouri, US",2020-02-09,0
9,"Jackson, Missouri, US",2020-02-10,0
10,"Jackson, Missouri, US",2020-02-11,0
11,"Jackson, Missouri, US",2020-02-12,0
12,"Jackson, Missouri, US",2020-02-13,0
13,"Jackson, Missouri, US",2020-02-14,0
14,"Jackson, Missouri, US",2020-02-15,0
15,"Jackson, Missouri, US",2020-02-16,0
16,"Jackson, Missouri, US",2020-02-17,0
17,"Jackson, Missouri, US",2020-02-18,0
18,"Jackson, Missouri, US",2020-02-19,0
19,"Jackson, Missouri, US",2020-02-20,0
20,"Jackson, Missouri, US",2020-02-21,0
21,"Jackson, Missouri, US",2020-02-22,0
22,"Jackson, Missouri, US",2020-02-23,0
23,"Jackson, Missouri, US",2020-02-24,0
24,"Jackson, Missouri, US",2020-02-25,0
25,"Jackson, Missouri, US",2020-02-26,0
26,"Jackson, Missouri, US",2020-02-27,0
27,"Jackson, Missouri, US",2020-02-28,0
28,"Jackson, Missouri, US",2020-02-29,0
29,"Jackson, Missouri, US",2020-03-01,0
30,"Jackson, Missouri, US",2020-03-02,0
31,"Jackson, Missouri, US",2020-03-03,0
32,"Jackson, Missouri, US",2020-03-04,0
33,"Jackson, Missouri, US",2020-03-05,0
34,"Jackson, Missouri, US",2020-03-06,0
35,"Jackson, Missouri, US",2020-03-07,0
36,"Jackson, Missouri, US",2020-03-08,0
37,"Jackson, Missouri, US",2020-03-09,0
38,"Jackson, Missouri, US",2020-03-10,0
39,"Jackson, Missouri, US",2020-03-11,0
40,"Jackson, Missouri, US",2020-03-12,0
41,"Jackson, Missouri, US",2020-03-13,0
42,"Jackson, Missouri, US",2020-03-14,0
43,"Jackson, Missouri, US",2020-03-15,0
44,"Jackson, Missouri, US",2020-03-16,0
45,"Jackson, Missouri, US",2020-03-17,1
46,"Jackson, Missouri, US",2020-03-18,3
47,"Jackson, Missouri, US",2020-03-19,3
48,"Jackson, Missouri, US",2020-03-20,8
49,"Jackson, Missouri, US",2020-03-21,8
50,"Jackson, Missouri, US",2020-03-22,8
51,"Jackson, Missouri, US",2020-03-23,10
52,"Jackson, Missouri, US",2020-03-24,14
53,"Jackson, Missouri, US",2020-03-25,17
54,"Jackson, Missouri, US",2020-03-26,31
55,"Jackson, Missouri, US",2020-03-27,41
56,"Jackson, Missouri, US",2020-03-28,43
57,"Jackson, Missouri, US",2020-03-29,48
58,"Jackson, Missouri, US",2020-03-30,56
59,"Jackson, Missouri, US",2020-03-31,77
60,"Jackson, Missouri, US",2020-04-01,86
61,"Jackson, Missouri, US",2020-04-02,103
62,"Jackson, Missouri, US",2020-04-03,103
63,"Jackson, Missouri, US",2020-04-04,135
64,"Jackson, Missouri, US",2020-04-05,135
65,"Jackson, Missouri, US",2020-04-06,155
66,"Jackson, Missouri, US",2020-04-07,162
67,"Jackson, Missouri, US",2020-04-08,162
68,"Jackson, Missouri, US",2020-04-09,167
69,"Jackson, Missouri, US",2020-04-10,199
70,"Jackson, Missouri, US",2020-04-11,217
71,"Jackson, Missouri, US",2020-04-12,225
72,"Jackson, Missouri, US",2020-04-13,225
73,"Jackson, Missouri, US",2020-04-14,237
74,"Jackson, Missouri, US",2020-04-15,237
75,"Jackson, Missouri, US",2020-04-16,260
76,"Jackson, Missouri, US",2020-04-17,267
77,"Jackson, Missouri, US",2020-04-18,268
78,"Jackson, Missouri, US",2020-04-19,268
79,"Jackson, Missouri, US",2020-04-20,271
80,"Jackson, Missouri, US",2020-04-21,279
81,"Jackson, Missouri, US",2020-04-22,288
82,"Jackson, Missouri, US",2020-04-23,287
83,"Jackson, Missouri, US",2020-04-24,300
84,"Jackson, Missouri, US",2020-04-25,303
85,"Jackson, Missouri, US",2020-04-26,307
86,"Jackson, Missouri, US",2020-04-27,309
87,"Jackson, Missouri, US",2020-04-28,309
88,"Jackson, Missouri, US",2020-04-29,313
89,"Jackson, Missouri, US",2020-04-30,315
90,"Jackson, Missouri, US",2020-05-01,328
91,"Jackson, Missouri, US",2020-05-02,339
92,"Jackson, Missouri, US",2020-05-03,342
93,"Jackson, Missouri, US",2020-05-04,335
94,"Jackson, Missouri, US",2020-05-05,347
95,"Jackson, Missouri, US",2020-05-06,362
96,"Jackson, Missouri, US",2020-05-07,373
97,"Jackson, Missouri, US",2020-05-08,380
98,"Jackson, Missouri, US",2020-05-09,390
99,"Jackson, Missouri, US",2020-05-10,398
100,"Jackson, Missouri, US",2020-05-11,388
101,"Jackson, Missouri, US",2020-05-12,402
102,"Jackson, Missouri, US",2020-05-13,401
103,"Jackson, Missouri, US",2020-05-14,395
104,"Jackson, Missouri, US",2020-05-15,425
105,"Jackson, Missouri, US",2020-05-16,432
106,"Jackson, Missouri, US",2020-05-17,446
107,"Jackson, Missouri, US",2020-05-18,454
108,"Jackson, Missouri, US",2020-05-19,457
109,"Jackson, Missouri, US",2020-05-20,457
110,"Jackson, Missouri, US",2020-05-21,469
111,"Jackson, Missouri, US",2020-05-22,485
112,"Jackson, Missouri, US",2020-05-23,495
113,"Jackson, Missouri, US",2020-05-24,517
114,"Jackson, Missouri, US",2020-05-25,520
115,"Jackson, Missouri, US",2020-05-26,528
116,"Jackson, Missouri, US",2020-05-27,515
117,"Jackson, Missouri, US",2020-05-28,554
118,"Jackson, Missouri, US",2020-05-29,560
119,"Jackson, Missouri, US",2020-05-30,570
120,"Jackson, Missouri, US",2020-05-31,596
121,"Jackson, Missouri, US",2020-06-01,613
122,"Jackson, Missouri, US",2020-06-02,637
123,"Jackson, Missouri, US",2020-06-03,656
124,"Jackson, Missouri, US",2020-06-04,676
125,"Jackson, Missouri, US",2020-06-05,686
126,"Jackson, Missouri, US",2020-06-06,696
127,"Jackson, Missouri, US",2020-06-07,702
128,"Jackson, Missouri, US",2020-06-08,716
129,"Jackson, Missouri, US",2020-06-09,727
130,"Jackson, Missouri, US",2020-06-10,752
131,"Jackson, Missouri, US",2020-06-11,782
132,"Jackson, Missouri, US",2020-06-12,791
133,"Jackson, Missouri, US",2020-06-13,819
134,"Jackson, Missouri, US",2020-06-14,819
135,"Jackson, Missouri, US",2020-06-15,865
136,"Jackson, Missouri, US",2020-06-16,889
137,"Jackson, Missouri, US",2020-06-17,916
138,"Jackson, Missouri, US",2020-06-18,933
139,"Jackson, Missouri, US",2020-06-19,976
140,"Jackson, Missouri, US",2020-06-20,1016
141,"Jackson, Missouri, US",2020-06-21,1018
142,"Jackson, Missouri, US",2020-06-22,1030
143,"Jackson, Missouri, US",2020-06-23,1054
144,"Jackson, Missouri, US",2020-06-24,1076
145,"Jackson, Missouri, US",2020-06-25,1074
146,"Jackson, Missouri, US",2020-06-26,1103
147,"Jackson, Missouri, US",2020-06-27,1126
148,"Jackson, Missouri, US",2020-06-28,1149
149,"Jackson, Missouri, US",2020-06-29,1172
150,"Jackson, Missouri, US",2020-06-30,1210
151,"Jackson, Missouri, US",2020-07-01,1226
152,"Jackson, Missouri, US",2020-07-02,1247
153,"Jackson, Missouri, US",2020-07-03,1289
154,"Jackson, Missouri, US",2020-07-04,1318
155,"Jackson, Missouri, US",2020-07-05,1329
156,"Jackson, Missouri, US",2020-07-06,1359
157,"Jackson, Missouri, US",2020-07-07,1397
158,"Jackson, Missouri, US",2020-07-08,1438
159,"Jackson, Missouri, US",2020-07-09,1490
160,"Jackson, Missouri, US",2020-07-10,1543
161,"Jackson, Missouri, US",2020-07-11,1558
