State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,URL,Citation
MO,Adair County,29,1,4/10/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/11/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/12/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/13/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/14/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/15/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/16/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/17/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/18/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/19/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/20/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/21/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/22/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/23/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/24/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/25/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/26/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/27/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/28/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/29/20,2,NA,NA,NA,NA
MO,Adair County,29,1,4/30/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/1/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/2/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/3/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/4/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/5/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/6/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/7/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/8/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/9/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/10/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/11/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/12/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/13/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/14/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/15/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/16/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/17/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/18/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/19/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/20/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/21/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/22/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/23/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/24/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/25/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/26/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/27/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/28/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/29/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/30/20,2,NA,NA,NA,NA
MO,Adair County,29,1,5/31/20,2,NA,NA,NA,NA
