Date,Total Cases,New Cases,Total Deaths,New Deaths
03/10/2020 12:00:00 AM,0,0,0,0
03/11/2020 12:00:00 AM,0,0,0,0
03/12/2020 12:00:00 AM,0,0,0,0
03/13/2020 12:00:00 AM,0,0,0,0
03/14/2020 12:00:00 AM,1,1,0,0
03/15/2020 12:00:00 AM,2,1,0,0
03/16/2020 12:00:00 AM,6,4,0,0
03/17/2020 12:00:00 AM,9,3,0,0
03/18/2020 12:00:00 AM,12,3,0,0
03/19/2020 12:00:00 AM,22,10,0,0
03/20/2020 12:00:00 AM,36,14,0,0
03/21/2020 12:00:00 AM,41,5,0,0
03/22/2020 12:00:00 AM,42,1,0,0
03/23/2020 12:00:00 AM,54,12,0,0
03/24/2020 12:00:00 AM,70,16,0,0
03/25/2020 12:00:00 AM,87,17,0,0
03/26/2020 12:00:00 AM,99,12,0,0
03/27/2020 12:00:00 AM,112,13,0,0
03/28/2020 12:00:00 AM,122,10,0,0
03/29/2020 12:00:00 AM,127,5,0,0
03/30/2020 12:00:00 AM,147,20,1,1
03/31/2020 12:00:00 AM,169,22,1,0
04/01/2020 12:00:00 AM,191,22,1,0
04/02/2020 12:00:00 AM,214,23,2,1
04/03/2020 12:00:00 AM,235,21,4,2
04/04/2020 12:00:00 AM,249,14,5,1
04/05/2020 12:00:00 AM,259,10,8,3
04/06/2020 12:00:00 AM,282,23,8,0
04/07/2020 12:00:00 AM,302,20,9,1
04/08/2020 12:00:00 AM,317,15,9,0
04/09/2020 12:00:00 AM,337,20,9,0
04/10/2020 12:00:00 AM,351,14,9,0
04/11/2020 12:00:00 AM,357,6,9,0
04/12/2020 12:00:00 AM,359,2,9,0
04/13/2020 12:00:00 AM,380,21,11,2
04/14/2020 12:00:00 AM,395,15,12,1
04/15/2020 12:00:00 AM,408,13,12,0
04/16/2020 12:00:00 AM,421,13,12,0
04/17/2020 12:00:00 AM,431,10,13,1
04/18/2020 12:00:00 AM,436,5,13,0
04/19/2020 12:00:00 AM,440,4,13,0
04/20/2020 12:00:00 AM,459,19,13,0
04/21/2020 12:00:00 AM,476,17,15,2
04/22/2020 12:00:00 AM,488,12,15,0
04/23/2020 12:00:00 AM,500,12,16,1
04/24/2020 12:00:00 AM,512,12,16,0
04/25/2020 12:00:00 AM,518,6,16,0
04/26/2020 12:00:00 AM,521,3,16,0
04/27/2020 12:00:00 AM,560,39,16,0
04/28/2020 12:00:00 AM,597,37,16,0
04/29/2020 12:00:00 AM,642,45,16,0
04/30/2020 12:00:00 AM,672,30,16,0
05/01/2020 12:00:00 AM,687,15,16,0
05/02/2020 12:00:00 AM,697,10,17,1
05/03/2020 12:00:00 AM,703,6,17,0
05/04/2020 12:00:00 AM,732,29,17,0
05/05/2020 12:00:00 AM,758,26,17,0
05/06/2020 12:00:00 AM,775,17,17,0
05/07/2020 12:00:00 AM,787,12,17,0
05/08/2020 12:00:00 AM,802,15,17,0
05/09/2020 12:00:00 AM,812,10,17,0
05/10/2020 12:00:00 AM,817,5,17,0
05/11/2020 12:00:00 AM,839,22,17,0
05/12/2020 12:00:00 AM,853,14,18,1
05/13/2020 12:00:00 AM,882,29,19,1
05/14/2020 12:00:00 AM,902,20,19,0
05/15/2020 12:00:00 AM,917,15,19,0
05/16/2020 12:00:00 AM,929,12,21,2
05/17/2020 12:00:00 AM,938,9,21,0
05/18/2020 12:00:00 AM,977,39,22,1
05/19/2020 12:00:00 AM,1005,28,22,0
05/20/2020 12:00:00 AM,1030,25,22,0
05/21/2020 12:00:00 AM,1066,36,22,0
05/22/2020 12:00:00 AM,1090,24,22,0
05/23/2020 12:00:00 AM,1095,5,23,1
05/24/2020 12:00:00 AM,1106,11,25,2
05/25/2020 12:00:00 AM,1113,7,25,0
05/26/2020 12:00:00 AM,1142,29,25,0
05/27/2020 12:00:00 AM,1183,41,25,0
05/28/2020 12:00:00 AM,1213,30,26,1
05/29/2020 12:00:00 AM,1255,42,26,0
05/30/2020 12:00:00 AM,1361,106,26,0
05/31/2020 12:00:00 AM,1436,75,28,2
06/01/2020 12:00:00 AM,1467,31,29,1
06/02/2020 12:00:00 AM,1499,32,29,0
06/03/2020 12:00:00 AM,1536,37,30,1
06/04/2020 12:00:00 AM,1565,29,30,0
06/05/2020 12:00:00 AM,1615,50,30,0
06/06/2020 12:00:00 AM,1631,16,31,1
06/07/2020 12:00:00 AM,1639,8,32,1
06/08/2020 12:00:00 AM,1682,43,32,0
06/09/2020 12:00:00 AM,1727,45,32,0
06/10/2020 12:00:00 AM,1753,26,32,0
06/11/2020 12:00:00 AM,1780,27,32,0
06/12/2020 12:00:00 AM,1826,46,32,0
06/13/2020 12:00:00 AM,1837,11,32,0
